id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25
1,Página,,,,,,,,,Diagrama ER de base de datos,,,,,,,,,,,,,,,,,,,,,,,,
2,Texto,Estándar,1,,50,,,,,Diagrama ER Asignacion Horarios y Cargas Horarias SICEUTEM,,,,,,,,,,,,,,,,,,,,,,,,
3,Texto,Estándar,1,,50,,,,,"Juan Manuel Fernandez Alvarez  |  June 24, 2020",,,,,,,,,,,,,,,,,,,,,,,,
4,Entidad,Relación entre entidades,1,,,,,,,Carrera (vista),carreraId,int ,nombreCarrera,varchar(100),directorId,int FK(Personas),turno,"enum('Matutino','Vespertino')",,,,,,,,,,,,,,,,
5,Entidad,Relación entre entidades,1,,,,,,,Personas(vista),personaId,int,nombrePersona,varchar(100),tipoNombre,varchar(30),,,,,,,,,,,,,,,,,,
6,Entidad,Relación entre entidades,1,,,,,,,Grupos (vista),tutorId,int FK(Personas),nombreGrupo,varchar(10),carreraId,int,grupoId,int,,,,,,,,,,,,,,,,
7,Entidad,Relación entre entidades,1,,,,,,,Periodos(vista),periodoId,int,nombrePëriodo,varchar(50),fechaInicio,date,fechaFin,date,,,,,,,,,,,,,,,,
8,Entidad,Relación entre entidades,1,,,,,,,Materias(vista),materiaId,int,nombreMateria,varchar(50),horasTotales,int,horasTeoria,int,horasPractica,int,planId,int,,,,,,,,,,,,
9,Entidad,Relación entre entidades,1,,,,,,,PlanesEstudio(vista),planId,int,nombrePlan,varchar(50),,,,,,,,,,,,,,,,,,,,
10,Entidad,Relación entre entidades,1,,,,,,,disponibilidadDocente,carreraId,int FK(Carreras),Se almacena la clave de la carrera seleccionada,dispId,int PK A_I,Se almacena la llave principal del registro dispId ,elaboroId,int FK (Personas),Se almacena el id de la persona que elaboró el formato (docente),quehacerPTC,int FK(quehacerPTC),"En caso que el docente sea PTC, podrá completar su formato con las horas proyectadas para su quehacer Docente PTC (Módulo Quehacer del Docente PTC)",fechaCreacion,dateTime,Se almacena la fecha y hora en que fue creado el formato,periodoId,int FK (Periodos),Se almacena la clave del periodo seleccionado,ddStatus,"Enum('En revisión', 'Correcciones', 'Rechazado', 'Aprobado', 'Entregado')",Se almacena el proceso enque se enuentra el documento,,,
11,Entidad,Relación entre entidades,1,,,,,,,detalleHoras,dethorasId,int PK A_I,Se almacena la llave primaria del registro dethorasId,disponibilidadDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",disponibilidadHoras,text,Se almacena el listado de las horas disponibles del docente ,disponibilidadId,int FK(disponibilidadDocente),Se almacena la clave de la disponibilidad al que pertenece,,,,,,,,,,,,
12,Entidad,Relación entre entidades,1,,,,,,,detalleMaterias,detmateriasId,int PK A_I,Se almacena la llave primaria del registro detmateriasId,materiaId,int FK(Materias),Se almacena la clave de la materia seleccionada propuesta,disponibilidadId,int FK(disponibilidadDocente),Se almacena la clave de la disponibilidad al que pertenece,,,,,,,,,,,,,,,
13,Entidad,Relación entre entidades,1,,,,,,,revisonesDisponibilidad,revisionId,int PK A_I,Se almacena la clave del registro de revisionId,revisorID,int FK(Personas),Se almacena la clve de la persona que relaizó la revisión,observaciones,text,Se almacenan las observaciones a corregir por el docente,fechaRevision,dateTime,Se almacena la fecha de la revisión del documento,disponibilidadId,int FK (disponibilidadDocente),Se almacena la clave del formatoq ue se esta revisando,,,,,,,,,
14,Entidad,Relación entre entidades,1,,,,,,,detalleHorasDirector,horasdirectorId,int PK A_I,Se almacena la llave primaria del registro horasdirectorId,horasdirectorDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",horasClases,Text,Se almacena el listado de las horas de clases,horaReceso,varchar(20),Se almacena la clave de la disponibilidad al que pertenece,fechaCreacion,dateTime,Se almacena la fecha en que se asignaron las horas,elaboroId,int FK (Personas),Se almancena la clave de la persona que elaabora el formato de horas,,,,,,
15,Entidad,Relación entre entidades,1,,,,,,,materiaDocente,matdocId,int PK A_I,Se almacena la clave de cada asignación de maestro-materia,fechaAsignacion,dateTime,Se almacena la fecha de asignación de la materia,asignaId,int FK(Personas),Se almacena la persona que creó el registro de la asignacion,docenteId,inf FK(Personas),Se almacena la clave del docente que se se asigna la materia,materiaId,int FK(Materias),Se almacena la clave de la materia que se le asignó al docente,mdStatus,"Enum('En revisión', 'Correcciones', 'Rechazado', 'Aprobado', 'Entregado')",Se almacena el proceso enque se enuentra el documento,,,,,,
16,Entidad,Relación entre entidades,1,,,,,,,controlModificaciones,modificacionesId,int PK A_I,Se almacena la clave del registro en caso de alguna modificación a la asignación,datoAnterior,varchar(250),Se recupera el dato que estaba anteriormente de la  en caso de haber sido moficicada,datoNuevo,varchar(250),Se recupera el dato nuevo que ha sido modificado,campoMod,varchar(20),Se almacena el campo que se modificó,tablaMod,varchar(25),Se almacena la tabla que se ha modificado,fechaMod,dateTime,Se almacena la fecha de la modificación de la asignació de la materia,motivo,Text,Se almacena el motivo de la modificación,modificoId,int FK (Personas),Se almacena la clave de la persona que modificó el registro
17,Entidad,Relación entre entidades,1,,,,,,,revisonesAsgnacion,revAId,int PK A_I,Se almacena la clave del registro de revAId,matdocId,int FK (materiaDocente),Se almacena la clave del formato que se esta revisando,revisorID,int FK(Personas),Se almacena la clve de la persona que relaizó la revisión,observaciones,text,Se almacenan las observaciones a corregir por el docente,fechaRevision,dateTime,Se almacena la fecha de la revisión del documento,,,,,,,,,
18,Entidad,Relación entre entidades,1,,,,,,,horarioGrupos,elaboroId,int FK (Personas),Se almacena la clave de la persona que elabora el horario del grupo,revisoId,int FK(Personas),Se almacena la clve de la persona que relaizó la revisión,grupoId,int FK(Grupos),Se almacenan las observaciones a corregir por el docente,fechaCreacion,dateTime,Se almacena la fecha de la creación del documento,planId,int FK(PlanesEstudio),Se almacena la clave del plan de estudios ,periodoId,int FK(Periodos),Se almacena la clave del periodo en que se realiza la carga horaria de Grupo,horarioGrupoId,int PK A_I,Se almacena la clave del registro de horarioGrupoId,hgStatus,"Enum('En revisión', 'Correcciones', 'Rechazado', 'Aprobado', 'Entregado')",Se almacena el proceso enque se enuentra el documento
19,Entidad,Relación entre entidades,1,,,,,,,detalleHoras,horarioGrupoId,int FK(horarioGrupos),Se almacena la clave de la horario de Grupo al que pertenece,horasGrupoId,int PK A_I,Se almacena la llave primaria del registro horasGrupoId,horarioDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",horarioHoras,Text,Se almacena el listado de las horas de cada materia,materiaId,int FK (Materias),Se almacena la clave de la materia seleccionada propuesta,,,,,,,,,
20,Entidad,Relación entre entidades,1,,,,,,,asignaActiPTC,actividadId,int FK(ActividadesPTC),Se almacena la clave de la actividad asignada,actividadesPTCId,int PK A_I,Se almacena la clave de la actividad,fechaAsignacion,dateTime,Se almacena la fecha de asignación de la aactividad,actividadDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",horarioHoras,Text,Se almacena el listado de las horas de cada actividad,docenteActId,inf FK(Personas),Se almacena la clave del docente que se se asigna la materia,asignaActId,int FK(Personas),Se almacena la persona que creó el registro de la asignacion,,,
21,Entidad,Relación entre entidades,1,,,,,,,actividadesPTC,nombreActividad,varchar(20),Se almacena el nombre de la actividad,descripcionActividad,Text,Se almacena la descripción de la actividad asignada,horasMaximo,int,Se almacena el total máximo de horas ,fechaCreacion,dateTime,Se almacena la fecha en que se asignaron las horas,actividadId,int PK A_I,Se almacena la llave primaria del registro actividadId,,,,,,,,,
22,Entidad,Relación entre entidades,1,,,,,,,documentos,documentoId,int PK A_I,Se almacena la clave del documento que se genera,documentoNombre,varchar(100),"Se almacena el nombre del documento o formato, el cual se compone del tipo de documento, clave del usuario que lo generó, fecha de creación",documentoDesc,Text,"Se puede hacer un resumen del documento que se esta generando, si lo genera el sistema, automáticamente se llena esta campo",documentoURL,varchar(100),Se almacena la URL de la carpeta donde se almacena el documento,documentoTipo,varchar(50),"Se almacena el tipo de documento, puede ser un formato generado por el sistema",formatoId,int FK(varias tablas)  default NULL,"Se almacena la clave del formato, en caso de haber sido generado por el sistema, si no lo genera el sistema, esta campo será nulo",realizoId,int FK(personas),"Se almacena la clave de quien subió el documento, si fue por parte del sistema generado este campo será llenado por la persona que lo genere",fechaCreacion,dateTime,Se allmacena la fecha de creación del documento
23,Línea,,1,,50,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
24,Línea,,1,,,10,4,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
25,Línea,,1,,,5,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
26,Línea,,1,,,13,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
27,Línea,,1,,,7,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
28,Línea,,1,,,13,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
29,Línea,,1,,,10,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
30,Línea,,1,,,12,10,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
31,Línea,,1,,,5,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
32,Línea,,1,,,8,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
33,Línea,,1,,,5,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
34,Línea,,1,,,5,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
35,Línea,,1,,,15,17,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
36,Línea,,1,,,5,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
37,Línea,,1,,,5,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
38,Línea,,1,,,6,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
39,Línea,,1,,,9,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
40,Línea,,1,,,7,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
41,Línea,,1,,,18,19,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
42,Línea,,1,,,8,19,CFN ERD One Arrow,CFN ERD Many Arrow,Texto,,,,,,,,,,,,,,,,,,,,,,,,
43,Línea,,1,,,5,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
44,Línea,,1,,,5,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
45,Línea,,1,,,21,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
46,Línea,,1,,,5,22,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
47,Línea,,1,,,16,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
48,Línea,,1,,,5,4,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
49,Línea,,1,,,6,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
50,Grupo 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,